id_str,text,class
786710877202415616,"@JosemiGamesYT ya ves, ¿eh?",Spain
786703107057213441,@AMXFive @torbjornwatch Yo no he visto el resto!,Spain
786703005794074626,"@JosemiGamesYT ¿Tu crees? Yo creo que Blizzard una vez que el juego es de pago, no reculará &gt;_&lt;",Spain
786668960741781504,"@ElDuelista Sii, en PC ^_^",Spain
786646083988488192,RT @ReaperWatch: Aquí tengo a un colega que deberíais verle jugar! Estoy en la sala de chat por si queréis hablar de @Overwatch_Esp ,Spain
786640116806737921,RT @The_neferos: En 3 minutos y arrancamos   @Overwatch_Esp @OverwatchES @Retweet_Twitch,Spain
786619966846033921,"@BlizzardCSEU_ES @Snakedyr Ten en cuenta también que las cajas de Halloween para consolas se sacaron un día más tarde que en PC, creo...",Spain
786619762386370560,@doremirofa No soy la única... ¡Lloremos juntos! :'),Spain
786619667838275585,@Chill109 Qué suerte tienen algunos... 😳,Spain
786596768377077760,"RT @JosemiGamesYT: ¡Vente a pasar una buena tarde de @OverwatchES! Hoy farmearemos experiencia, oro y ¡CAJAS! AcidTV",Spain
786582466668691456,@tadenae fue a hablar la que tiene Mercy bruja. La justicia podría llover un poco más al sur y eso,Spain
786581486992519170,Mala suerte nivel que te toque un grafiti repetido en las cajas de Halloween cuando no tienes ni una skin especial. :'),Spain
786579703201234944,@tadenae Ese lo tengo en póster. :],Spain
786564426572890112,RT @Azu_91: ヾ(･ω･｀*)【Halloween Overwatch ON LIVE】(*´･ω･)ﾉﾞ  @Overwatch_Esp @OverwatchES @SpainOverwatch @CrisisOmnic…,Spain
786541356323930113,Cuando te matan pero sabes que luego tienes ulti. 😈 ,Spain
786336078211014656,@Snakedyr @BlizzardCSEU_ES te puede ayudar. Coméntale tu problema. :),Spain
786282287231078400,RT @VideojuegosGAME: ¿Os imagináis que la Mini-NES tuviera esta versión de Overwatch incluído? 😍 ,Spain
786282095253549058,@Snakedyr @OverwatchES digo el menú principal con su respectiva canción de Halloween. Imagino que las cajas te salen las de Halloween.,Spain
786281931277213698,@PabloGame11 Ya somos dos... 😢,Spain
786281881344106496,"RT @JosemiGamesYT: @AcidSpainASN @Overwatch_Esp Hanzo y McCree focus Mercy, Ana y Soldado focus Roadhog, una vez caido junkrat. Y gg",Spain
786281873815269376,@JosemiGamesYT @AcidSpainASN El problema es que los 4 tienen que ser buenos con esos héroes. XD,Spain
786276793212960768,Hoy os estáis marcando un Winston y lo sabéis... ,Spain
786276257507995648,@Snakedyr @OverwatchES ¿Estaba el juego actualizado con su portada de Halloween y todo?,Spain
786200709951844352,RT @Areajugones: La búsqueda de Sombra en Overwatch se va de las manos -  ,Spain
786197897973002240,"Chicos, según @OverwatchGG, los objetos de Halloween solo serán comprables durante el evento. Es decir, hasta el 1… ",Spain
786154807077834752,@PabloGame11 @OverwatchES ¡Ánimo! Luego lo agradeces no sabes cuánto! 😄,Spain
786154685510066176,"@Zemi41 @OverwatchES ¡Haces bien! Sin embargo, cuando se va acabando el evento.. 😥",Spain
786154119979565056,"RT @JosemiGamesYT: @Overwatch_Esp @OverwatchES Antes mi tarjeta de crédito pertenecía a Steam, ahora no sé quien es su verdadero dueño...",Spain
786154112673021953,@JosemiGamesYT Blizzard. Lo sabes. 😏,Spain
786150257126244356,Vosotros pillando cajas de botín de Halloween en @OverwatchES. 💶💳💰 ,Spain
786141033314877440,@Chill109 @torbjornwatch Que Athena te escuche... 🙏,Spain
786042300358987777,RT @Areajugones: Overwatch supera la marca de los 20 millones de jugadores -  ,Spain
785994433456144384,@Danielito_2903 ojalá tengas razón... 😢,Spain
785962723695792132,Un RT en memoria de esa skin vikinga de @torbjornwatch que nunca tendremos. 😢 ,Spain
785961318318825473,"@xNoxyt OMG, pero cuánta envidia me dais! 😍😍",Spain
785961256247234560,"RT @xNoxyt: BEST BOX EVER ♥ Ya tengo la skin de Mercy, no necesito más cajas, tyy @Overwatch_Esp *-* ",Spain
785908358075314176,@Spitliver @OverwatchES ¡Qué suerte!,Spain
785908300584017920,RT @Spitliver: Vaya con la skin que me toca en la primera caja! Gracias por la caja :D @Overwatch_Esp @OverwatchES ,Spain
785908250080382976,@NiCoNoVoa5 Sii,Spain
785908230497140736,"Aunque no juguéis, no salgáis que os pasará esto... 😢😢 ",Spain
785897543632838657,RT @Areajugones: Filtrados casi todos los aspectos de Overwatch para Halloween -  ,Spain
785894591341989888,"Adiós, mundo. 👋 ",Spain
