id_str,text,class
786718408708685825,Simeon Halligan presenta 'Los intrusos'  Crítica de @BeatrizMartnezG,Spain
786714630261440513,"Tanak, líder del Rally Catalunya tras el tramo urbano en Barcelona ",Spain
786710899952390145,"El líder del partido @forza_italia, @renatobrunetta, critica a Dario Fo ",Spain
786706807892869120,.@rufuswainwright visita Girona y Sant Cugat con su disco de sonetos de Shakespeare  Por @freirejuanma,Spain
786703538542022656,El Gobierno volverá a romper la hucha de las pensiones en diciembre  @marianorajoy @PPopular,Spain
786699516602884096,.@Neymarjr reivindica su estilo  @FCBarcelona,Spain
786699337581662208,.@LA_PAH denuncia abusos de los @mossos en un desahucio de una familia en L'Hospitalet ,Spain
786695498241638401,.@MichelleObama tilda a @realDonaldTrump de depredador sexual ,Spain
786691724919857152,Las entidades de apoyo al refugiado piden más medios para agilizar los trámites de extranjería  @stopmaremortum,Spain
786688270977658880,Christopher Walken: Admito que hay muchas películas mías que no he visto  Por @freirejuanma,Spain
786684419100839989,Los investigados por desviar fondos de una fundación para niños pobres culpan a un muerto ,Spain
786682063835504641,La portadaEPC del 14 de octubre: Correa admite el reparto de comisiones con el PP  ,Spain
786680893846982656,El top ventas de @IkeaSpain (y la Billy que tienes en casa no está entre las 5 primeras)     ,Spain
786680778402963456,Piqué: Me gustaría ser presidente del Barcelona cuando me retire  @ForadeSerieTV3,Spain
786674704404869120,La oposición carga contra la propuesta fiscal del gobierno de @AdaColau ,Spain
786669358986690560,"Bob Dylan, en cinco canciones emblemáticas que bien valen el Nobel de Literatura ",Spain
786665849516068865,"El entorno Podemos-ICV-Comunes necesita mostrarse como la única opción de izquierdas, apropiarse de una épica ",Spain
786665236115972097,VÍDEO | Una vaca se escapa de Mercabarna y recorre calles con tráfico  ,Spain
786663087545917441,"Salvo sorpresa, ganará @miqueliceta  Por @joaquimcoll ",Spain
786661872598708228,En Andalucía (757 euros) es tres veces más barato matricularse en la universidad que en Catalunya… ,Spain
786661495874654208,¿Merece Dylan un premio literario com el Nobel? Escritores a favor y en contra ,Spain
786659283186421760,"'Mi cabeza en la guillotina', el artículo de @JuanchoDumall  ",Spain
786659259580841984,El yihadista detenido en Alemania con la ayuda de dos refugiados sirios se suicida  @carlesplb,Spain
786658255896453121,"Bob Dylan, un Nobel de Literatura que será difícil de poder leer (en papel): lo publicó una editorial hoy extinta ",Spain
786658076753559552,Los presupuestos de BCN son una cuestión nacional y los presupuestos nacionales son una cuestión de Barcelona… ,Spain
786656751902941184,El ayuntamiento de Tarragona rectificará la decisión de trasladar las festividades de Santa Tecla a un lunes  ,Spain
786654264772988928,El PP ha impuesto su discurso de que hay que vaciar la hucha porque el modelo es insostenible  Por @josepmureta,Spain
786653048496160768,"Los políticos podrían desobedecer, pero sin contar con los funcionarios  Por… ",Spain
786651714808057856,.@fhollande publica el libro de confidencias 'Un presidente no debería decir eso' ,Spain
786650576125825024,"@bobdylan ha sido, a lo largo de su trayectoria, un mito indiscutible que aún se mantiene en pie… ",Spain
786649211710402560,Luís Enrique valora diversas opciones para sustituir a @SergiRoberto10 en el lateral derecho  @FCBarcelona,Spain
786647950214696960,Dario Fo no ha desaprovechado un solo día de su vida. Siempre hizo el teatro que le comprometía con la humanidad… ,Spain
786645920209330176,Para Francisco Correa lo único importante es que el negocio dé dinero  Gürtel,Spain
786644173529243648,Hay que estar hecho de una pasta especial para aceptar que es un mal menor que gobierne el @PPopular  Por J. Aroca,Spain
786643001720377344,El maltratador es un delincuente y debe ser castigado siempre. Y ahí empiezan los desacuerdos… ,Spain
786641635283234817,Después de 'El código Da Vinci' y 'Ángeles y demonios' llega 'Inferno'  Crítica de Quim Casas,Spain
786639633719365633,"Zayn Malik, nuevo fichaje de Versus Versace ",Spain
786637926125953024,"Hasta hoy, solo el dramaturgo George Bernard Shaw había ganado un premio Nobel y un Oscar de Hollywood… ",Spain
786637910246297602,Joachim Lafosse presenta 'Después de nosotros'  Crítica de Quim Casas,Spain
786636363378618368,Bartzokas alerta que en la Euroliga no hay margen para el error  @FCBbasket,Spain
786634657190338560,"'Fuego en el mar', documental de Gianfranco Rosi sobre los refugiados que llegan a Lampedusa  Crítica de Nando Salvà",Spain
786632919989256192,Los afiliados del @socialistes_cat deberán escoger entre lo viejo conocido y lo nuevo por conocer… ,Spain
786631313319161856,'Small Time' es un filme de sobremesa  Crítica de @BeatrizMartnezG,Spain
786629313366032384,"Poco hay de escandaloso en 'Mike y Dave buscan rollo serio', una comedia que es una completa idiotez ",Spain
786629070993883136,Quien teme el referéndum teme que el pueblo hable  ,Spain
786628108044599296,El enigma de la mariposa amazónica en Barcelona ,Spain
786625786476392451,Moción de censura fallida en Badalona ,Spain
786624068871196672,Descubre los eventos que hilan el tejido social de unos barrios llenos de vida y cultura en @onbarcelona ,Spain
786620416022474752,@ChelseaFC y @Nike firman un acuerdo de patrocinio hasta el 2032 ,Spain
786618733687111680,.@lavirreinaci estrenará muestras sobre el cineasta Alexander Kluge y el dramaturgo e historietista Copi ,Spain
786616985232834560,La violencia de hijos a padres afecta a uno de cada diez hogares españoles ,Spain
786615239030804480,Un mural recuerda en Budapest a un español que salvó la vida a miles de judíos ,Spain
786613208396234752,Báñez reconoce un 'fraude de ley' en la contratación de interinos en el sector público ,Spain
786611432859242496,Descubre las aplicaciones que proponen nuevos retos sociales y políticos   @apps4citizens,Spain
786609432931295232,La @cursadebombers ha celebrado 17 ediciones y en todas ellas Jordi Asín ha cruzado la línea de meta ,Spain
786607672883806208,".@ZacEfron, @chrishemsworth y @LiamHemsworth se pintan las uñas por una buena causa  Por @MireyaRoca",Spain
786605904590475264,Campaña cívica para mejorar el reciclaje en Santa Coloma ,Spain
786604382599188480,".@P_piatti, el regreso del puñal perico  @RCDEspanyol",Spain
786602647386263552,"Los 'escape room', un fenómeno en alza  Por @Olga_merino",Spain
786600881487810561,.@toni_comin promete un nuevo hospital en Tarragona con una inversión de 48 millones de euros  @salutcat @govern,Spain
786599132450422784,El presidente de los rectores exige la recuperación de las ayudas a los estudiantes universitarios ,Spain
786597897538244609,Este es el producto más vendido por @IKEASpain  ,Spain
786595579052818432,"Marcet, exjugador del @RCDEspanyol, muere a los 87 años ",Spain
786594080159596544,"Muere el rey de Tailanidia, el más rico y el más longevo ",Spain
786592606440521728,"Norman Mailer: Si @bobdylan es un poeta, yo soy un jugador de básket  @NobelPrize",Spain
786591055168827392,.@ToniKroos: Zidane está fuera de dudas ,Spain
786589555537379329,.@RobZombie presenta la épica y epiléptica '31' en @sitgesfestival  Por @Julgar1,Spain
786588887875543040,El Rally RACC de Catalunya arranca esta tarde con la disputa de la súper especial de Barcelona… ,Spain
786587782445666304,.@BorisJohnson presenta el Brexit como una oportunidad para el comercio británico ,Spain
786586288212377600,Multa de 154.000 euros a @tve_tve por @LaMananaTVE ,Spain
786584252007800832,Barcelona quiere cobrar más cara el área verde y azul a los coches que más contaminen: identificarán a los coches ,Spain
786582784882118656,. @IkeaSpain abre tiendas temporales en el centro de Barcelona y Madrid para vender productos exclusivos ,Spain
786578747969441792,El 'Yonki del dinero' confirma amaños bajo la alcaldía de @RitaBarbera: había que echar un cable a su sobrino ,Spain
786576702088552448,Johnson presenta el 'brexit' como una oportunidad para el comercio británico ,Spain
786573200905867264,El Espanyol ficha a un delantero australiano de padres chinos para su filial ,Spain
786571208506630145,Estoy cansado de hacer regalos. En el sector privado es una práctica habitual. Las perlas de Correa en el juicio  ,Spain
786566407299469312,Iván Ramírez continúa grave en la uci del Hospital Clínico de Zaragoza ,Spain
786563623820951552,. @Pablo_Iglesias_ dice que parece un chiste que El Corte Inglés pueda abrir el 12 de octubre y no un consistorio ,Spain
786559969147645953,"Sisa: Creemos que somos libres, pero no es así ",Spain
786558650575884288,VÍDEO | El flamante Premio Nobel de Literatura en cinco canciones  @NobelPrize @bobdylan ,Spain
786554056529571840,Sindicatos y oposición piden que los Presupuestos financien la subida de las pensiones ,Spain
786552543266693120,El Circo de las Mariposas más combativo llega a @sala_Bikini ,Spain
786550526536192000,Salut Pública investiga un brote de legionelosis en el Alt Penedès ,Spain
786548565694898177,Decenas de muertos tras otro rescate de refugiados a la deriva en el Mediterráneo ,Spain
786548284798164992,RT @eppolitica_cas: 🔴 DIRECTO | El tribunal del juicio de la 'Gürtel' hace un receso para comer. Retomarán la sesión a las 15.45 horas ,Spain
786546512285270016,"El fútbol televisado en España, de los más caros de Europa: cuesta un mínimo de 612,98 euros al año ",Spain
786545834338971648,RT @eppolitica_cas: 🔴 DIRECTO | Correa: No me importaba que me grabaran las llamadas porque no tenía conciencia de estar delinquiendo htt…,Spain
786544842050527232,"'Homosexual, sí, pero catalán, ¡no!'  Artículo de @Monegalferran",Spain
786542999073333248,"Bob Dylan, un Nobel de Literatura que será difícil de poder leer (en papel): lo publicó una editorial hoy extinta ",Spain
786541719181459456,La intensidad alcanzada por la tormenta ayer en Cabrils fue la mayor en la historia reciente ,Spain
786539740149456897,"Dylan Rieder, uno de los skaters más conocidos del mundo, muere de leucemia a los 28 años ",Spain
786538445611106305,El @ZooBarcelonaa liberará 26 tortugas en el delta del Llobregat ,Spain
786537305079152641,El grupo islamista Boko Haram libera a 21 niñas secuestradas del grupo de 200 ,Spain
786535930454827009,El tribunal de las 'black' rechaza una prueba que beneficia a los acusados ,Spain
786534695546785792,"El fiscal ve posible delito en la apertura del Ayuntamiento de Badalona el día 12 de Octubre, Día de la Hispanidad ",Spain
786533469782441984,El acuerdo de libre comercio entre la Unión Europea y Canadá (CETA) entrará en vigor de forma provisional. ,Spain
786531680291024896,VÍDEO | Brutal modalidad de encierros con 4x4 en la Alcarria  ,Spain
786529696120991744,La inmobiliaria Neinor Homes sumará 850 viviendas en construcción antes de fin de año ,Spain
786528403683962880,Equipo al completo. El Barça ya tiene a todos los jugadores ,Spain
786527604866244608,RT @eppolitica_cas: Consulta aquí el auto de apertura de juicio oral por parte del TSJC contra Artur Mas ,Spain
786527380730970112,Un Seat nuevo en la puerta de casa de la mano de @amazon. DeliveryToEnjoy ,Spain
786525891207757824,TV-3 ya ha abierto la convocatoria para los 'castings'. 'Oh Happy Day!' volverá en enero ,Spain
786524631553409028,Una vaca a la fuga en el Mercabarna ,Spain
786523229586395136,"ÚLTIMA HORA | Bob Dylan, ganador del premio Nobel de Literatura 2016  ",Spain
786522618434293760,"Las mejores actividades gratuitas de Barcelona para la tarde de hoy, 13 de octubre ",Spain
786521543862083584,"RT @EPcultura_cas: Aquí podrás seguir en directo, a las 13 h., el anuncio del nombre del ganador del Premio Nobel de Literatura ",Spain
786520838560423936,Citroën toma las calles de BCN con el nuevo C3 ,Spain
786520562273284096,"ÚLTIMA HORA | El TSJC envía a juicio a Mas, Ortega y Rigau por el 9-N ",Spain
786519571163389954,". @_SusoGH16_: Si tú me das a entender una cosa y yo me acelero, luego no me digas 'hasta aquí'  ",Spain
786518376550105088,. @paulpogba se queja de Mourinho ,Spain
786516558734561280,Conmoción nacional en Indonesia tras la aprobación de la pena de muerte y la castración química para los pederastas ,Spain
786514062632968192,La @CBS revela qué dijo Trump sobre una niña de 10 años: En 10 años estaré saliendo con ella ,Spain
786512788126588928,Preparen los bolsillos para el 27 de Abril. La Generalitat crea un nuevo sorteo de lotería: la Grossa de Sant Jordi ,Spain
786510006510288896,Holanda busca legalizar el suicidio asistido para ancianos que sientan que ya han completado su vida ,Spain
786507753846108160,La universidad española es la cuarta más cara de Europa ,Spain
786505729557557248,"El aeropuerto de Barcelona aumentó el 9,7% los pasajeros en septiembre ",Spain
786505225028894720,DIRECTO l Correa admite que prosiblemente se cometieron irregularidades con la financiación del PP en València ,Spain
786504078603980800,RT @eppolitica_cas: DIRECTO | Correa: ¿Dónde está el problema de regalarle una corbata a Francisco Camps? ,Spain
786503751582507008,. @Pablo_Iglesias_ dice que parece un chiste que El Corte Inglés pueda abrir el 12 de octubre y no un consistorio ,Spain
786502223136223232,Nuevas medidas en Francia para promover la compra y uso de los coches eléctricos e híbridos ,Spain
786499484171833344,Alrededor de 70 inmigrantes subaharianos saltan la valla de Melilla en un intento de unos 400 ,Spain
786499370841767936,"DIRECTO l Correa confirma que regaló viajes, coches y fiestas al ex de Ana Mato  Gürtel",Spain
786498948756283392,"DIRECTO | Éramos unos buenos profesionales, dice Correa  Gürtel",Spain
