id_str,text,class
786546256105631744,RT @Hispantv: Sandra Barrilo denuncia situación de gazatíes por bloqueo israelí:  via @YouTube,Spain
786545802386767873,RT @fcsanabria: Se nos va uno de los últimos juglares. No temía la muerte pero le daba pena irse porque amaba y disfrutaba la vida. Ojo al…,Spain
786487877827858432,"La vigencia del Che en el siglo XXI: Palabras pronunciadas en el acto de homenaje a Ernesto Che Guevara, orga... ",Spain
786485409224196096,Argentina El Presupuesto Argentino para 2017 ,Spain
786483073323937792,Cultura Muere el dramaturgo italiano Dario Fo a los 90 años:  ,Spain
786483072162082816,Cultura El joven Marx y la construcción del comunismo crítico:  ,Spain
786479958206152704,Mundo TPP: Cuando el poder corporativo se impone a los derechos humanos ,Spain
786477025364172800,Bolivia Democracia en el estado plurinacional ,Spain
786476561486712832,Secuestro y deportación exprés ,Spain
786476560593412097,Assad y Putin se ensañan contra Alepo ,Spain
786472080489545729,"Haití, herida abierta de América Latina  Latinoamérica",Spain
786471837735804929,"Muere Dario Fo, ganador del Premio Nobel de Literatura en 1997 ",Spain
786471635079434240,Administradoras de fondos de pensiones: la mayor estafa legal de la historia:  ,Spain
786471633850511360,La historia silenciada de Estados Unidos:  ,Spain
786471632810356736,Más de 6.500 migrantes murieron en la frontera de México con Estados Unidos:  ,Spain
786470682821586944,¿La Unión Europea se derrumba?  europa,Spain
786469324710027264,¡Pobre de mí!:  ,Spain
786469323653074944,Las palabras que faltan:  ,Spain
786469322323402753,Animalismo y civilización:  ,Spain
786464782106763264,Cultura Nos gustaría apoyar la idea gramsciana de construcción de un bloque histórico capaz de impulsar una... ,Spain
786462447695724544,cuba Sobre política científica y ética ,Spain
786459356862832640,"TTIP, CETA, TISA y educación: un territorio para el saqueo ",Spain
786459356107829248,La resignificación del Patriotismo a través de Podemos ,Spain
786459344053436416,"Títeres desde abajo, guiñol popular y militancia política ",Spain
786459343222964224,Encuentro internacional por la renta básica incondicional ,Spain
786454191166414848,Argentina Una mañana para pedir justicia ,Spain
