id_str,text,class
786705618300178432,Lanzan campaña para frenar reportes de VIH en Bogotá  ,Colombia
786703134747942912,Capturan a exfutbolista de la Selección Colombia por tráfico de drogas  ,Colombia
786700603623899136,"Blogs 'La cruzada', por @malievan  ",Colombia
786698062290878465,"Así suena la Plaza de Bolívar, el epicentro de la paz en Colombia→  ",Colombia
786695628013334528,Canadá les pide a sus ciudadanos no viajar a zonas rurales de Colombia  ,Colombia
786694937337335808,Capturan a exfutbolista de la Selección Colombia por tráfico de drogas  ,Colombia
786693083161387008,"Blogs 'Concurso Nacional de Belleza aplazado: ¡A guardar los 32mts de tul!', por @pepamaria_… ",Colombia
786692877917286401,AEstaHora Fuertes lluvias complican la movilidad en Bogotá→  ,Colombia
786690522765258752,La cancillería explica el nombramiento de @Carloscalero29 como cónsul  ,Colombia
786688114056134656,Periodista denuncia que @realDonaldTrump abusó de ella durante una entrevista  ,Colombia
786685493283094529,La discografía que llevó a Bob Dylan a ganar el Nobel de Literatura→  ,Colombia
786682978692898816,TengaEnCuenta Los anticonceptivos hormonales pueden causar depresión  ,Colombia
786680516305096704,Tribunal de Boyacá admitió tutela por la paz contra presidente @JuanManSantos  ,Colombia
786677957616082944,La historia del perro que esperó a su dueño en la puerta de la clínica sin saber que había muerto… ,Colombia
786676898982158336,ATENCIÓN Estados Unidos se opone a libertad bajo fianza del exministro Andrés Felipe Arias  ,Colombia
786675429616783360,Los eternos nominados al premio Nobel de Literatura→  ,Colombia
786673049689067520,La epidemia de tuberculosis es más grave de lo que se pensaba  ,Colombia
786670397039206400,'Yo no voy a traicionar la esperanza de Colombia': @JuanManSantos  ,Colombia
786667879886446593,Proyecto de Mundial con 48 equipos en la agenda del Consejo de la Fifa  ,Colombia
786665462180507648,Pequeños negocios pagarán IVA y renta juntos  ,Colombia
786662874517299204,"A estos perros se les murió su dueño, ¿qué pasó después? Especial MascotasHuérfanas  ",Colombia
786660342835404800,Lo que se sabe del Galaxy S8  ,Colombia
786659061706190848,"“Hay que sentarnos a conversar entre todos: las palabras de un estudiante a encapuchados, en medio de disturbios… ",Colombia
786657980922167296,"Aumentan los 'colados' en el Sisbén que ganan más de 3,8 millones  ",Colombia
786655310991724544,"En medio de disturbios, estudiante reta a encapuchados a un diálogo  ",Colombia
786652787304173568,La reforma tributaria llegará al Congreso con el tiempo contado  ,Colombia
786650427391614976,"Opinión 'Todo por la causa de la paz', columna de Abdón Espinosa Valderrama ",Colombia
786647898746458112,"En medio de disturbios, estudiante reta a encapuchados a un diálogo  ",Colombia
786647760061726722,"Videos y letras: un cancionero para entender a Bob Dylan, nuevo Nobel de Literatura  ",Colombia
786647088033587200,Pequeños negocios pagarán IVA y renta juntos  ,Colombia
786645286567440384,Al dueño de 'Luna' lo asesinaron en un robo. ¿Qué pasó después? Especial  MascotasHuérfanas… ,Colombia
786642907344277504,".@FALCAO pasó examen médico, pero no será convocado  ",Colombia
786640219244290048,EnFotos La joven que bajó 65 kilos y ahora rechaza a quienes le decían gorda  ,Colombia
786637694873001984,"En minería, Corte está asignando competencias con fallos: Gobierno  ",Colombia
786635316371357696,"Opinión 'Constitución, acuerdos y paz', columna de María Teresa Garcés ",Colombia
786632679181594625,Periodista denuncia que @realDonaldTrump abusó de ella durante una entrevista  ,Colombia
786630196057235456,'Fernando' llegó con su dueño a Urgencias de la clínica Shaio. El hombre falleció y el animal lo esperó en la puert… ,Colombia
786627792721018880,"San Pedro de Atacama, un desierto lleno de vida  ",Colombia
786625116729929728,Los bogotanos estarían obligados a separar residuos para reciclar  ,Colombia
786622596758564864,.@jamesdrodriguez y otros futbolistas que han sido amenazados de muerte  ,Colombia
786620204281389060,"Opinión Hay que formar ciudadanos que valoren la libertad, la dignidad humana y la diversidad: @OscarG_Sanchez ",Colombia
786617553611350017,Hamburguesas El Corral cambia de imagen  ,Colombia
786615081492746240,De Las Cruces a Zoonosis: el drama de la pareja de perritas a las que se les murió su dueño  ,Colombia
786612645742972928,"Gafas de realidad virtual de Sony, agotadas en su primer día en Japón  ",Colombia
786612455220752384,"RT @Restrebooks: A propósito de su exposición en la @Utadeo_edu_co, artista Juan Cárdenas habló con @ELTIEMPO de su obra artística. ",Colombia
786610000475095040,"Dieciséis militares, presos por cocaína devuelta al 'clan del Golfo'  ",Colombia
786607471284584448,EnFotos Famosas que posan en sus redes sin maquillaje  ,Colombia
786606795066339328,".@FALCAO pasó examen médico, pero no será convocado  ",Colombia
786605073568792576,"Opinión 'Nuevo plebiscito o Congreso: las vías jurídicas del acuerdo de paz', columna de @frbarbosa74 ",Colombia
786603131484372992,ONU nombra a António Guterres nuevo Secretario General  ,Colombia
786602452191744001,Dos muertos dejó alud en una mina ilegal de oro en Guapi (Cauca)  ,Colombia
786599992425324544,'Fernando' esperó a su dueño en la puerta de la clínica durante días sin saber que había muerto… ,Colombia
786597541731246080,Spring Step da el paso a la reorganización empresarial  ,Colombia
786594896136339456,"Bob Dylan, un maestro de literatura en la música  ",Colombia
786592395190235136,Canadá les pide a sus ciudadanos no viajar a zonas rurales de Colombia  ,Colombia
786589995087892480,Opinión Hay escenas aquí que parecen sacadas del libro de Rodolfo el Calvo: @Aulogelio ,Colombia
786587413724467200,"Así se construyó la maqueta de Bogotá, que se expone en Cumbre Mundial de Alcaldes BogotáEsLaCumbre… ",Colombia
786584861586980864,¿Qué pasa con una mascota huérfana? Esta es la historia de 'Luna' MascotasHuérfanas  ,Colombia
786582617412014080,EnVideo Francia abre su primer centro de inyección supervisada para consumidores de drogas  ,Colombia
786579812634791936,"Opinión 'Justicia, ¿Misión imposible?', columna de @fcarrilloflorez ",Colombia
786577296115326976,Las regiones que tuvieron las mayores alzas en el servicio del gas  ,Colombia
786574873854377988,El director Ron Howard y el actor Tom Hanks hablan de la película 'Inferno'  ,Colombia
786572263936159744,"En enero, los bogotanos serán notificados de la nueva reglamentación para el uso de canecas o bolsas de color… ",Colombia
786571006152437760,"'Colombianos en trance', por Matador. Vea más caricaturas del día→  ",Colombia
